20240319 update
番号	定義名	リソース名
828	JT_4_M_ROGUE	4_M_ROGUE
829	JT_4_M_DOMINO	4_M_DOMINO
830	JT_4_F_DOMINO	4_F_DOMINO
831	JT_4_F_ZONDAGIRL	4_F_ZONDAGIRL
832	JT_4_M_REIDIN_KURS	4_M_REIDIN_KURS
833	JT_4_M_ZONDAOYAJI	4_M_ZONDAOYAJI
834	JT_4_M_BUDDHIST	4_M_BUDDHIST
835	JT_2_BOARD1	2_BOARD1
836	JT_2_BOARD2	2_BOARD2
837	JT_2_BULLETIN_BOARD	2_BULLETIN_BOARD
838	JT_4_F_THAIAYO	4_F_THAIAYO
839	JT_4_F_THAIGIRL	4_F_THAIGIRL
840	JT_4_F_THAISHAMAN	4_F_THAISHAMAN
841	JT_4_M_THAIAYO	4_M_THAIAYO
842	JT_4_M_THAIOLD	4_M_THAIOLD
843	JT_4_M_THAIONGBAK	4_M_THAIONGBAK
844	JT_CLEAR_NPC	CLEAR_NPC
845	JT_4_F_RACING	4_F_RACING
846	JT_4_F_EINOLD	4_F_EINOLD
847	JT_4_M_EINOLD	4_M_EINOLD
848	JT_4_M_EINMINER	4_M_EINMINER
849	JT_4_M_DIEMAN	4_M_DIEMAN
850	JT_4_F_EINWOMAN	4_F_EINWOMAN
851	JT_4_M_REPAIR	4_M_REPAIR
852	JT_4_M_EIN_SOLDIER	4_M_EIN_SOLDIER
853	JT_4_M_YURI	4_M_YURI
854	JT_4_M_EINMAN2	4_M_EINMAN2
855	JT_4_M_EINMAN	4_M_EINMAN
856	JT_2_F_SIGN1	2_F_SIGN1
857	JT_4_BOARD3	4_BOARD3
858	JT_4_BULLETIN_BOARD2	4_BULLETIN_BOARD2
859	JT_4_F_AGENTKAFRA	4_F_AGENTKAFRA
860	JT_4_F_KAFRA8	4_F_KAFRA8
861	JT_4_F_KAFRA9	4_F_KAFRA9
862	JT_4_F_LGTGIRL	4_F_LGTGIRL
863	JT_4_F_LGTGRAND	4_F_LGTGRAND
864	JT_4_F_OPERATION	4_F_OPERATION
865	JT_4_LGTSCIENCE	4_LGTSCIENCE
866	JT_4_M_LGTGRAND	4_M_LGTGRAND
867	JT_4_M_LGTGUARD2	4_M_LGTGUARD2
868	JT_4_M_LGTGUARD	4_M_LGTGUARD
869	JT_4_M_LGTMAN	4_M_LGTMAN
870	JT_4_M_LGTPOOR	4_M_LGTPOOR
871	JT_4_M_OPERATION	4_M_OPERATION
872	JT_4_M_PRESIDENT	4_M_PRESIDENT
873	JT_4_M_REINDEER	4_M_REINDEER
874	JT_4_M_ZONDAMAN	4_M_ZONDAMAN
875	JT_4_M_PECOKNIGHT	4_M_PECOKNIGHT
876	JT_4_CAT	4_CAT
877	JT_4_F_YUNYANG	4_F_YUNYANG
878	JT_4_M_OILMAN	4_M_OILMAN
879	JT_4_F_CAPEGIRL	4_F_CAPEGIRL
880	JT_4_M_MASKMAN	4_M_MASKMAN
881	JT_4_M_SITDOWN	4_M_SITDOWN
882	JT_4_F_SITDOWN	4_F_SITDOWN
883	JT_4_M_ALCHE_D	4_M_ALCHE_D
884	JT_4_M_ACROSS	4_M_ACROSS
885	JT_4_F_ACROSS	4_F_ACROSS
886	JT_4_COOK	4_COOK
887	JT_4_M_LIEMAN	4_M_LIEMAN
888	JT_2_POSTBOX	2_POSTBOX
889	JT_4_BULL	4_BULL
890	JT_4_LAM	4_LAM
891	JT_4_F_HUGIRL	4_F_HUGIRL
892	JT_4_F_HUGRANMA	4_F_HUGRANMA
893	JT_4_F_HUWOMAN	4_F_HUWOMAN
894	JT_4_F_KHELLISIA	4_F_KHELLISIA
895	JT_4_F_KHELLY	4_F_KHELLY
896	JT_4_M_HUBOY	4_M_HUBOY
897	JT_4_M_HUGRANFA	4_M_HUGRANFA
898	JT_4_M_HUMAN_01	4_M_HUMAN_01
899	JT_4_M_HUMAN_02	4_M_HUMAN_02
900	JT_4_M_HUMERCHANT	4_M_HUMERCHANT
901	JT_4_M_HUOLDARMY	4_M_HUOLDARMY
902	JT_4_M_KHKIEL	4_M_KHKIEL
903	JT_4_M_KHKYEL	4_M_KHKYEL
904	JT_4_M_KHMAN	4_M_KHMAN
905	JT_4_F_KHWOMAN	4_F_KHWOMAN
906	JT_4_F_KHGIRL	4_F_KHGIRL
907	JT_4_M_KHBOY	4_M_KHBOY
908	JT_4_M_PHILMAN	4_M_PHILMAN
909	JT_4_PORING	4_PORING
910	JT_2_COLAVEND	2_COLAVEND
911	JT_4_F_SOCCER	4_F_SOCCER
912	JT_4_M_SOCCER7	4_M_SOCCER7
913	JT_4_M_SOCCER9	4_M_SOCCER9
914	JT_4_F_CHILD	4_F_CHILD
915	JT_4_F_MADAME	4_F_MADAME
916	JT_4_F_MASK1	4_F_MASK1
917	JT_4_F_MASK	4_F_MASK
918	JT_4_F_RACHOLD	4_F_RACHOLD
919	JT_4_F_SHABBY	4_F_SHABBY
920	JT_4_F_TRAINEE	4_F_TRAINEE
921	JT_4_M_CHILD1	4_M_CHILD1
922	JT_4_M_CHILD	4_M_CHILD
923	JT_4_M_DOCTOR	4_M_DOCTOR
924	JT_4_M_FROZEN1	4_M_FROZEN1
925	JT_4_M_FROZEN	4_M_FROZEN
926	JT_4_M_MASK1	4_M_MASK1
927	JT_4_M_MASK	4_M_MASK
928	JT_4_M_MIDDLE1	4_M_MIDDLE1
929	JT_4_M_MIDDLE	4_M_MIDDLE
930	JT_4_M_RACHMAN2	4_M_RACHMAN2
931	JT_4_M_RACHMAN1	4_M_RACHMAN1
932	JT_4_M_RACHOLD1	4_M_RACHOLD1
933	JT_4_M_RACHOLD	4_M_RACHOLD
934	JT_4_M_RASWORD	4_M_RASWORD
935	JT_4_M_TRAINEE	4_M_TRAINEE
936	JT_4_F_ARUNA_POP	4_F_ARUNA_POP
937	JT_4_M_ARUNA_NFM1	4_M_ARUNA_NFM1
938	JT_4_DST_CAMEL	4_DST_CAMEL
939	JT_4_DST_SOLDIER	4_DST_SOLDIER
940	JT_4_F_DESERT	4_F_DESERT
941	JT_4_F_DST_CHILD	4_F_DST_CHILD
942	JT_4_F_DST_GRAND	4_F_DST_GRAND
943	JT_4_M_DESERT	4_M_DESERT
944	JT_4_M_DST_CHILD	4_M_DST_CHILD
945	JT_4_M_DST_GRAND	4_M_DST_GRAND
946	JT_4_M_DST_MASTER	4_M_DST_MASTER
947	JT_4_M_DST_TOUGH	4_M_DST_TOUGH
948	JT_4_ANGELING	4_ANGELING
949	JT_4_ARCHANGELING	4_ARCHANGELING
950	JT_4_GHOSTRING	4_GHOSTRING
951	JT_4_F_EDEN_MASTER	4_F_EDEN_MASTER
952	JT_4_F_EDEN_OFFICER	4_F_EDEN_OFFICER
953	JT_4_M_EDEN_GUARDER	4_M_EDEN_GUARDER
954	JT_4_M_PATRICK	4_M_PATRICK
955	JT_4_DONKEY	4_DONKEY
956	JT_4_M_TRISTAN	4_M_TRISTAN
957	JT_4_WHITE_COW	4_WHITE_COW
958	JT_4_F_RUSCHILD	4_F_RUSCHILD
959	JT_4_F_RUSWOMAN1	4_F_RUSWOMAN1
960	JT_4_F_RUSWOMAN2	4_F_RUSWOMAN2
961	JT_4_F_RUSWOMAN3	4_F_RUSWOMAN3
962	JT_4_M_RUSCHILD	4_M_RUSCHILD
963	JT_4_M_GUSLIMAN	4_M_GUSLIMAN
964	JT_4_M_RUSBALD	4_M_RUSBALD
965	JT_4_M_RUSKING	4_M_RUSKING
966	JT_4_M_RUSKNIGHT	4_M_RUSKNIGHT
967	JT_4_M_RUSMAN1	4_M_RUSMAN1
968	JT_4_M_RUSMAN2	4_M_RUSMAN2
969	JT_4_M_DRAKE	4_M_DRAKE
970	JT_4_F_BABAYAGA	4_F_BABAYAGA
971	JT_4_F_RUSGREEN	4_F_RUSGREEN
972	JT_4_RUS_DWOLF	4_RUS_DWOLF
973	JT_1_FLAG_LION	1_FLAG_LION
974	JT_1_FLAG_EAGLE	1_FLAG_EAGLE
975	JT_4_M_MIKID	4_M_MIKID
976	JT_4_BLUE_FLOWER	4_BLUE_FLOWER
977	JT_4_RED_FLOWER	4_RED_FLOWER
978	JT_4_YELL_FLOWER	4_YELL_FLOWER
979	JT_4_F_CAVE1	4_F_CAVE1
980	JT_4_F_MUT1	4_F_MUT1
981	JT_4_F_MUT2	4_F_MUT2
982	JT_4_F_SCIENCE	4_F_SCIENCE
983	JT_4_M_1STPRIN1	4_M_1STPRIN1
984	JT_4_M_1STPRIN2	4_M_1STPRIN2
985	JT_4_M_2NDPRIN1	4_M_2NDPRIN1
986	JT_4_M_2NDPRIN2	4_M_2NDPRIN2
987	JT_4_M_3RDPRIN1	4_M_3RDPRIN1
988	JT_4_M_3RDPRIN2	4_M_3RDPRIN2
989	JT_4_M_4THPRIN1	4_M_4THPRIN1
990	JT_4_M_4THPRIN2	4_M_4THPRIN2
991	JT_4_M_5THPRIN1	4_M_5THPRIN1
992	JT_4_M_5THPRIN2	4_M_5THPRIN2
993	JT_4_M_6THPRIN1	4_M_6THPRIN1
994	JT_4_M_6THPRIN2	4_M_6THPRIN2
995	JT_4_M_CASMAN1	4_M_CASMAN1
996	JT_4_M_CAVE1	4_M_CAVE1
997	JT_4_M_MOCASS1	4_M_MOCASS1
998	JT_4_M_MOCASS2	4_M_MOCASS2
999	JT_4_M_MUT1	4_M_MUT1
10001	JT_4_TOWER_14	4_tower_14
10002	JT_4_TOWER_15	4_tower_15
10003	JT_4_TOWER_16	4_tower_16
10004	JT_4_TOWER_17	4_tower_17
10005	JT_4_TREASURE_BOX	4_treasure_box
10006	JT_ACADEMY_MASTER	academy_master
10007	JT_PORTAL	portal
10008	JT_THANATOS_BATTLE	thanatos_battle
10009	JT_THANATOS_KEEP	thanatos_keep
10010	JT_4_F_LYDIA	4_F_LYDIA
10011	JT_4_LUDE	4_LUDE
10012	JT_4_ALIZA	4_ALIZA
10013	JT_4_ALICE	4_ALICE
10014	JT_4_ARCHER_SKEL	4_ARCHER_SKEL
10015	JT_4_JACK	4_JACK
10016	JT_4_SOLDIER_SKEL	4_SOLDIER_SKEL
10017	JT_4_LOLI_RURI	4_LOLI_RURI
10018	JT_4_M_SAKRAY_TIED	4_M_SAKRAY_TIED
10019	JT_4_M_ANTONIO	4_M_ANTONIO
10020	JT_4_M_COOKIE	4_M_COOKIE
10021	JT_4_M_BELIEVER01	4_M_BELIEVER01
10022	JT_4_F_BELIEVER01	4_F_BELIEVER01
10023	JT_4_M_BELIEVER02	4_M_BELIEVER02
10024	JT_4_ROPEPILE	4_ROPEPILE
10025	JT_4_BRICKPILE	4_BRICKPILE
10026	JT_4_WOODPILE	4_WOODPILE
10027	JT_4_M_TAMARIN	4_M_TAMARIN
10028	JT_4_M_DEATH	4_M_DEATH
10029	JT_4_GHOST_STAND	4_GHOST_STAND
10030	JT_4_GHOST_COLLAPSE	4_GHOST_COLLAPSE
10031	JT_4_COOKIEHOUSE	4_COOKIEHOUSE
10032	JT_4_F_SKULL06GIRL	4_F_SKULL06GIRL
10033	JT_4_NONMYSTCASE	4_NONMYSTCASE
10034	JT_4_F_KIMI	4_F_KIMI
10035	JT_4_M_FROZEN_GC	4_m_frozen_gc
10036	JT_4_M_FROZEN_KN	4_m_frozen_kn
10037	JT_4_SNAKE_LORD	4_snake_lord
10038	JT_4_F_MOCBOY	4_f_mocboy
10039	JT_4_F_RUNAIN	4_f_runain
10040	JT_4_M_ROEL	4_m_roel
10041	JT_4_F_SHALOSH	4_f_shalosh
10042	JT_4_ENERGY_RED	4_energy_red
10043	JT_4_ENERGY_BLUE	4_energy_blue
10044	JT_4_ENERGY_YELLOW	4_energy_yellow
10045	JT_4_ENERGY_BLACK	4_energy_black
10046	JT_4_ENERGY_WHITE	4_energy_white
10047	JT_4_F_PERE01	4_f_pere01
10048	JT_4_JITTERBUG	4_jitterbug
10049	JT_4_SEA_OTTER	4_SEA_OTTER
10050	JT_4_GALAPAGO	4_GALAPAGO
10051	JT_4_DESERTWOLF_B	4_DESERTWOLF_B
10052	JT_4_BB_PORING	4_BB_PORING
10053	JT_4_F_CHARLESTON01	4_f_charleston01
10054	JT_4_F_CHARLESTON02	4_f_charleston02
10055	JT_4_F_CHARLESTON03	4_f_charleston03
10056	JT_4_M_IAN	4_M_IAN
10057	JT_4_M_OLDSCHOLAR	4_M_OLDSCHOLAR
10058	JT_4_F_LAPERM	4_F_LAPERM
10059	JT_4_M_DEBON	4_M_DEBON
10060	JT_4_M_BIRMAN	4_M_BIRMAN
10061	JT_4_F_SHAM	4_F_SHAM
10062	JT_4_M_REBELLION	4_M_REBELLION
10063	JT_4_F_REBELLION	4_F_REBELLION
10064	JT_4_CHN_SHAOTH	4_CHN_SHAOTH
10065	JT_4_SHOAL	4_SHOAL
10066	JT_4_F_SARAH	4_F_SARAH
10067	JT_4_GIGANTES_BIG	4_GIGANTES_BIG
10068	JT_4_GIGANTES	4_GIGANTES
10069	JT_4_GIGANTES_SMALL	4_GIGANTES_SMALL
10070	JT_4_GARGOYLE_STATUE	4_GARGOYLE_STATUE
10071	JT_4_AIRA	4_AIRA
10072	JT_4_EZELLA	4_EZELLA
10073	JT_4_KULUNA	4_KULUNA
10074	JT_4_LUNE	4_LUNE
10075	JT_4_MALLINA	4_MALLINA
10076	JT_4_MORIN	4_MORIN
10077	JT_4_NASARIN	4_NASARIN
10078	JT_4_F_BERRYTEA	4_F_BERRYTEA
10079	JT_4_F_FRUIT	4_F_FRUIT
10080	JT_4_SCR_MT_ROBOTS	4_SCR_MT_ROBOTS
10081	JT_4_MACHINE_DEVICE	4_MACHINE_DEVICE
10082	JT_4_GC109	4_GC109
10083	JT_4_SYS_MSG	4_SYS_MSG
10084	JT_4_M_TATIO	4_M_TATIO
10085	JT_4_M_REKENBER	4_M_REKENBER
10086	JT_4_XMAS_CAT1	4_XMAS_CAT1
10087	JT_4_XMAS_CAT2	4_XMAS_CAT2
10088	JT_4_XMAS_CAT3	4_XMAS_CAT3
10089	JT_4_XMAS_CAT4	4_XMAS_CAT4
10090	JT_4_XMAS_CAT5	4_XMAS_CAT5
10091	JT_4_XMAS_CAT6	4_XMAS_CAT6
10092	JT_4_M_DEATH2	4_M_DEATH2
10093	JT_4_S_KADOMATSU	4_S_KADOMATSU
10094	JT_4_B_KADOMATSU	4_B_KADOMATSU
10095	JT_4_F_08	4_F_08
10096	JT_4_F_08_STATUE	4_F_08_STATUE
10097	JT_4_M_DARKPRIEST	4_M_DARKPRIEST
10098	JT_4_JP_GARM_H	4_JP_GARM_H
10099	JT_4_JP_MEDUSA_H	4_JP_MEDUSA_H
10100	JT_4_CHN_GVG_01	4_CHN_GVG_01
10101	JT_4_SPRING_RABBIT	4_SPRING_RABBIT
10102	JT_4_PD_TYRA	4_PD_TYRA
10103	JT_4_PD_TYRANOS	4_PD_TYRANOS
10104	JT_4_PD_PLESI	4_PD_PLESI
10105	JT_4_PD_PLESIO	4_PD_PLESIO
10106	JT_4_PD_BRACHI	4_PD_BRACHI
10107	JT_4_PD_BRACHIOS	4_PD_BRACHIOS
10108	JT_4_PD_GOLDDRAGON	4_PD_GOLDDRAGON
10109	JT_4_PD_ZAEROG	4_PD_ZAEROG
10110	JT_4_PD_TAMADORA	4_PD_TAMADORA
10111	JT_4_JP_EDGA_H	4_JP_EDGA_H
10112	JT_4_JP_BRAGOLEM_H	4_JP_BRAGOLEM_H
10113	JT_4_EL_AQUA	4_EL_AQUA
10114	JT_4_EP16_NIHIL	4_EP16_NIHIL
10115	JT_4_EP16_SPICA	4_EP16_SPICA
10116	JT_4_EP16_SKIA	4_EP16_SKIA
10117	JT_4_EP16_PETER	4_EP16_PETER
10118	JT_4_EP16_CRUX	4_EP16_CRUX
10119	JT_4_EP16_GRANZ	4_EP16_GRANZ
10120	JT_4_EP16_STOLZ	4_EP16_STOLZ
10121	JT_4_EP16_EGEO	4_EP16_EGEO
10122	JT_4_EP16_COOK	4_EP16_COOK
10123	JT_4_EP16_MARK	4_EP16_MARK
10124	JT_4_EP16_TAMARIN	4_EP16_TAMARIN
10125	JT_4_EP16_POE	4_EP16_POE
10126	JT_4_EP16_ISAAC	4_EP16_ISAAC
10127	JT_4_EP16_HELMUT	4_EP16_HELMUT
10128	JT_4_EP16_WOLF	4_EP16_WOLF
10129	JT_4_EP16_MEYER	4_EP16_MEYER
10130	JT_4_EP16_AGNES	4_EP16_AGNES
10131	JT_4_EP16_FOOD	4_EP16_FOOD
10132	JT_4_EP16_LOUVIERE	4_EP16_LOUVIERE
10133	JT_4_EP16_MAX	4_EP16_MAX
10134	JT_4_EP16_SPIEGEL	4_EP16_SPIEGEL
10135	JT_4_MOONLIGHT	4_MOONLIGHT
10136	JT_4_MISTRESS	4_MISTRESS
10137	JT_4_DRACULA	4_DRACULA
10138	JT_4_STORMKNIGHT	4_STORMKNIGHT
10139	JT_4_TATTER	4_TATTER
10140	JT_4_AS_RAGGED_GOLEM	4_AS_RAGGED_GOLEM
10141	JT_4_AS_BLOODY_KNIGHT	4_AS_BLOODY_KNIGHT
10142	JT_4_AS_WIND_GHOST	4_AS_WIND_GHOST
10143	JT_4_F_BIJOU	4_F_BIJOU
10144	JT_4_EP16_COOK2	4_EP16_COOK2
10145	JT_4_SERVICE_30_M_01	4_SERVICE_30_M_01
10146	JT_4_SERVICE_30_F_01	4_SERVICE_30_F_01
10147	JT_4_SCR_AT_ROBOTS	4_SCR_AT_ROBOTS
10148	JT_4_F_RANGER	4_F_RANGER
10149	JT_4_WAG	4_WAG
10150	JT_4_NPC_TRAP	4_NPC_TRAP
10151	JT_4_RAGGLER	4_raggler
10152	JT_4_DR_PEPE	4_dr_pepe
10153	JT_4_DR_GAMBERI	4_dr_gamberi
10154	JT_4_DR_AGLIO	4_dr_aglio
10155	JT_4_DR_OLIO	4_dr_olio
10156	JT_4_DR_STELO	4_dr_stelo
10157	JT_4_DR_TORTEL	4_dr_tortel
10158	JT_4_BASIL_SLAVE	4_basil_slave
10159	JT_4_DOU_JINDO	4_dou_jindo
10160	JT_4_DOU_SIBA	4_dou_siba
10161	JT_4_TARUTUPI	4_tarutupi
10162	JT_4_DR_SOLDIER	4_dr_soldier
10163	JT_4_DR_M_01	4_dr_m_01
10164	JT_4_DR_M_02	4_dr_m_02
10165	JT_4_DR_F_01	4_dr_f_01
10166	JT_4_DR_F_02	4_dr_f_02
10167	JT_4_DR_KID_01	4_dr_kid_01
10168	JT_4_JP_2015EVT	4_jp_2015evt
10169	JT_4_ALLIGATOR	4_ALLIGATOR
10170	JT_4_ANOLIAN	4_ANOLIAN
10171	JT_4_TACNU	4_TACNU
10172	JT_4_CENERE	4_cenere
10173	JT_4_F_ARUNA_POP2	4_f_aruna_pop2
10174	JT_4_JACK_HEAD	4_jack_head
10175	JT_4_INJUSTICE	4_injustice
10176	JT_4_BLOODYMAN	4_bloodyman
10177	JT_4_GIBBET	4_gibbet
10178	JT_4_DULLAHAN	4_dullahan
10179	JT_4_M_LAZY	4_m_lazy
10180	JT_4_M_GONY	4_m_gony
10181	JT_4_M_ROOKIE	4_m_rookie
10182	JT_4_M_PHILOFONTES	4_m_philofontes
10183	JT_4_F_ESTLOVELOY	4_f_estloveloy
10184	JT_4_F_LEEDSH	4_f_leedsh
10185	JT_4_F_DIENE	4_f_diene
10186	JT_4_F_COATNEIS	4_f_coatneis
10187	JT_4_M_RUPERT	4_m_rupert
10188	JT_4_M_FALLENGONY	4_m_fallengony
10189	JT_4_M_EISEN	4_m_eisen
10190	JT_4_F_DEADEVIL	4_f_deadevil
10191	JT_4_F_HUNTER_EVIL	4_f_hunter_evil
10192	JT_4_F_ELENA	4_f_elena
10193	JT_4_F_ANYA	4_f_anya
10194	JT_4_M_SEIREN_UC	4_m_seiren_uc
10195	JT_4_M_GUNSLINGER2	4_m_gunslinger2
10196	JT_4_M_GUNSLINGER3	4_m_gunslinger3
10197	JT_4_M_REBELLION2	4_m_rebellion2
10198	JT_4_M_REBELLION3	4_m_rebellion3
10199	JT_4_F_GUNSLINGER2	4_f_gunslinger2
10200	JT_4_F_GUNSLINGER3	4_f_gunslinger3
10201	JT_4_F_REBELLION2	4_f_rebellion2
10202	JT_4_F_REBELLION3	4_f_rebellion3
10203	JT_4_M_ILYA	4_m_ilya
10205	JT_4_ELDER	4_elder
10206	JT_4_LUNATIC	4_lunatic
10207	JT_4_F_NOVICE2	4_f_novice2
10209	JT_4_F_PREMI	4_f_premi
10210	JT_4_M_COSTELL	4_m_costell
10211	JT_4_M_YATTWARP	4_m_yattwarp
10212	JT_4_M_EVOKASCUDI	4_m_evokascudi
10213	JT_4_M_JOHNNYJAMES	4_m_johnnyjames
10214	JT_4_M_ALBERTFORD	4_m_albertford
10215	JT_4_M_SEANMCCURDY	4_m_seanmccurdy
10216	JT_4_M_KARAMPUCCI	PORING
10217	JT_4_M_CACTUSMAN1	4_m_cactusman1
10218	JT_4_M_CACTUSMAN2	4_m_cactusman2
10219	JT_4_M_CACTUSMAN3	4_m_cactusman3
10220	JT_4_M_CACTUSLADY	4_m_cactuslady
10221	JT_4_M_GAST	PORING
10222	JT_4_M_CACTUSCHILD	4_m_cactuschild
10223	JT_4_KING	4_king
10224	JT_4_F_BOMI	4_f_bomi
10225	JT_4_M_CACTUSCHIEF	4_m_cactuschief
10226	JT_4_F_CACTUSCHILD2	4_f_cactuschild2
10227	JT_4_F_CACTUSLADY2	4_f_cactuslady2
10228	JT_4_F_CACTUSLADY3	4_f_cactuslady3
10229	JT_4_M_CACTUS	4_m_cactus
10230	JT_4_M_COWRAIDERS1	4_m_cowraiders1
10231	JT_4_M_COWRAIDERS2	4_m_cowraiders2
10232	JT_4_M_COWRAIDERS3	4_m_cowraiders3
10233	JT_4_F_JP14THEVT	4_F_JP14THEVT
10234	JT_4_M_POORSCHOLAR	4_m_poorscholar
10235	JT_4_M_PEPPERROTI	4_m_pepperroti
10236	JT_JP_NPC01	SIL_KTULLANUX
10237	JT_4_PURPLE_WARP	4_PURPLE_WARP
10238	JT_4_F_NARIN	4_F_NARIN
10239	JT_4_M_URGENT_MAN	4_M_URGENT_MAN
10240	JT_4_M_KEEN_SOLDIER	4_M_KEEN_SOLDIER
10241	JT_4_F_SLOPPY_WOMAN	4_F_SLOPPY_WOMAN
10242	JT_4_F_DRKAFRA01	4_f_drkafra01
10243	JT_4_M_DRZONDA01	4_m_drzonda01
10244	JT_4_M_SWD_RENO	4_m_swd_reno
10245	JT_4_M_KNG_RENO	4_m_kng_reno
10246	JT_4_M_AC_RUMIN	4_m_ac_rumin
10247	JT_4_M_HIGH_WIZARD	4_m_highwizard
10248	JT_4_SYSTEM_BOX	4_system_box
10249	JT_4_STEELBOX	4_STEELBOX
10250	JT_4_WOODBOX	4_WOODBOX
10251	JT_4_M_POPFESTA	4_m_popfesta
10252	JT_4_BONFIRE	4_BONFIRE
10253	JT_4_PCCOUNT	clear_npc
10256	JT_4_LOCKE	DUCKLING
10261	JT_JP_NPC02	SIL_SKOGUL
10262	JT_JP_NPC03	SIL_WISH_MAIDEN
10263	JT_JP_NPC04	ab_king_npc
10264	JT_JP_NPC05	ab_king_mob
10265	JT_JP_NPC06	ACIDUS
10266	JT_JP_NPC07	JAKK
10267	JT_JP_NPC08	2_SLOT_MACHINE
10268	JT_JP_NPC09	LOST_DRAGON
10269	JT_JP_NPC10	LOST_DRAGON
10271	JT_4_SCATLETON	4_SCATLETON
10272	JT_4_JP_AB_NPC_001	JP_ABYSS_BOSS_1
10273	JT_4_JP_AB_NPC_002	JP_ABYSS_BOSS_2
10274	JT_4_JP_AB_NPC_003	LOST_DRAGON
10275	JT_4_JP_AB_NPC_004	ABYSS_ARTHUR
10276	JT_4_JP_AB_NPC_005	GIOIA
10277	JT_4_JP_AB_NPC_006	KADES
10278	JT_4_JP_AB_NPC_007	DAEHYON
10279	JT_4_JP_AB_NPC_008	PYURIEL
10280	JT_4_JJAK	4_JJAK
10281	JT_4_M_SNOWMAN_B	4_M_SNOWMAN_B
10282	JT_4_M_SNOWMAN_R	4_M_SNOWMAN_R
10283	JT_4_M_SNOWMAN_G	4_M_SNOWMAN_G
10285	JT_4_HEN	4_hen
10286	JT_4_F_DANGDANG	4_f_dangdang
10287	JT_4_M_DANGDANG	4_m_dangdang
10288	JT_4_F_DANGDANG1	4_f_dangdang1
10289	JT_4_LEAFCAT	4_leafcat
10290	JT_4_NASARIAN	4_teddy_bear
10291	JT_4_NASARIAN_EM	4_teddy_bear_em
10292	JT_4_TEDDY_BEAR_W	4_teddy_bear_w
10293	JT_4_TEDDY_BEAR_B	4_teddy_bear_b
10294	JT_4_TEDDY_BEAR_B_L	4_teddy_bear_b_l
10295	JT_4_M_SOULREAPER	4_m_soulreaper
10296	JT_4_F_SE_SUN	4_f_se_sun
10297	JT_4_M_SE_MOON	4_m_se_moon
10298	JT_4_M_SE_STAR	4_m_se_star
10299	JT_4_EP17_KAYA	4_ep17_kaya
10300	JT_4_EP17_AS	4_ep17_as
10301	JT_4_EP17_ELYUMINA	4_ep17_elyumina
10302	JT_4_EP17_MORNING	4_ep17_morning
10303	JT_4_EP17_MIGUEL	4_ep17_miguel
10304	JT_4_EP17_NIHIL_K	4_ep17_nihil_k
10305	JT_4_EP17_MIGUEL_D	4_ep17_miguel_d
10306	JT_4_ED_SCHMIDT	4_ED_SCHMIDT
10307	JT_4_ED_OSCAR	4_ED_OSCAR
10308	JT_4_ED_ORB	4_ED_ORB
10309	JT_4_ED_FENCE	4_ED_FENCE
10310	JT_4_M_ANDREA	4_m_andrea
10311	JT_4_M_ANDREA_D	4_m_andrea_d
10312	JT_4_F_ANES	4_f_anes
10313	JT_4_F_ANES_D	4_f_anes_d
10314	JT_4_M_SILVANO	4_m_silvano
10315	JT_4_M_SILVANO_D	4_m_silvano_d
10316	JT_4_F_CECILIA	4_f_cecilia
10317	JT_4_F_CECILIA_D	4_f_cecilia_d
10318	JT_4_M_MD_SEYREN	4_m_md_seyren
10319	JT_4_M_MD_EREMES	4_m_md_eremes
10320	JT_4_M_MD_HARWORD	4_m_md_harword
10321	JT_4_F_MD_MAGALETA	4_f_md_magaleta
10322	JT_4_F_MD_SHECIL	4_f_md_shecil
10323	JT_4_F_MD_KATRINN	4_f_md_katrinn
10324	JT_4_M_MD_SEYREN_H	4_m_md_seyren_h
10325	JT_4_M_MD_EREMES_H	4_m_md_eremes_h
10326	JT_4_M_MD_HARWORD_H	4_m_md_harword_h
10327	JT_4_F_MD_MAGALETA_H	4_f_md_magaleta_h
10328	JT_4_F_MD_SHECIL_H	4_f_md_shecil_h
10329	JT_4_F_MD_KATRINN_H	4_f_md_katrinn_h
10330	JT_4_M_MD_SEYREN_D	4_m_md_seyren_d
10331	JT_4_M_MD_EREMES_D	4_m_md_eremes_d
10332	JT_4_M_MD_HARWORD_D	4_m_md_harword_d
10333	JT_4_F_MD_MAGALETA_D	4_f_md_magaleta_d
10334	JT_4_F_MD_SHECIL_D	4_f_md_shecil_d
10335	JT_4_F_MD_KATRINN_D	4_f_md_katrinn_d
10336	JT_4_F_MD_YGNIZEM	4_f_md_ygnizem
10337	JT_4_F_ERENE	4_f_erene
10341	JT_4_PIGOCTO	4_pigocto
10343	JT_4_JP_16TH	4_JP_16TH
10344	JT_4_EP17_MASTER_A	4_ep17_master_a
10345	JT_4_EP17_BASIC_B	4_ep17_basic_b
10346	JT_4_EP17_GUARD_B	4_ep17_guard_b
10347	JT_4_EP17_BASIC_B_NG	4_ep17_basic_b_ng
10348	JT_4_EP17_GUARD_B_NG	4_ep17_guard_b_ng
10349	JT_4_EP17_SWEETY	4_ep17_sweety
10350	JT_4_EP17_BOY_A	4_ep17_boy_a
10351	JT_4_EP17_BOY_B	4_ep17_boy_b
10352	JT_4_EP17_TAMARIN	4_ep17_tamarin
