MSI_DO_YOU_AGREE,"同意しますか？"
MSI_PKZONE,"ここはPK可能地域です。不意の攻撃に注意してください。"
MSI_NPGAMEMON_ERROR_100ERROR,"Game Guard update has been failed when either Virus or Spyware conflicted with. Please, Uninstall Spyware and Virus protection program before you log in."
MSI_NPGAMEMON_XP_COMPATIBILITY,"Program has encountered an error related to Windows compatibility. Please start the game again."
MSI_PK_HONOR,"チャット・スキルの使用・アイテムの使用が禁止されました。"
MSI_DELETING_CHAR,"キャラクター削除処理中につき、接続が一時的に制限されます。"
MSI_DELETING_SPOUSE_CHAR,"結婚相手のキャラクターが削除処理中につき、接続が一時的に制限されます。"
MSI_NOVICE,"Novice"
MSI_SWORDMAN,"Swordman"
MSI_MAGICIAN,"Magician"
MSI_ARCHER,"Archer"
MSI_ACOLYTE,"Acolyte"
MSI_MERCHANT,"Merchant"
MSI_THIEF,"Thief"
MSI_KNIGHT,"Knight"
MSI_PRIEST,"Prieset"
MSI_WIZARD,"Wizerd"
MSI_BLACKSMITH,"Blacksmith"
MSI_HUNTER,"Hunter"
MSI_ASSASSIN,"Assassin"
MSI_NOVICE_W,"Novice"
MSI_SWORDMAN_W,"Swordman"
MSI_MAGICIAN_W,"Magician"
MSI_ARCHER_W,"Archer"
MSI_ACOLYTE_W,"Acolyte"
MSI_MERCHANT_W,"Merchant"
MSI_THIEF_W,"Thief"
MSI_KNIGHT_W,"Knight"
MSI_PRIEST_W,"Prieset"
MSI_WIZARD_W,"Wizerd"
MSI_BLACKSMITH_W,"Blacksmith"
MSI_HUNTER_W,"Hunter"
MSI_ASSASSIN_W,"Assassin"
MSI_REQ_JOIN_BABY,"(%s)さんを養子にする"
MSI_SUGGEST_BABY2,"養子になると転生ができず、上昇可能な純粋なステータスの上限値が下がるなどの制約が発生します。詳細は公式サイトをご覧ください。養子になってもよろしいですか？"
MSI_GOSPEL1,"全ての状態異常が回復しました。"
MSI_GOSPEL2,"1分間、全ての状態異常へ耐性が現れます。"
MSI_GOSPEL3,"1分間、最大HPが大幅に上昇します。"
MSI_GOSPEL4,"1分間、最大SPが大幅に上昇します。"
MSI_GOSPEL5,"1分間、全ての能力が大幅に上昇します。"
MSI_GOSPEL6,"1分間、装備した武器に聖属性が付与されます。"
MSI_GOSPEL7,"1分間、装備した鎧に聖属性が付与されます。"
MSI_GOSPEL8,"10秒間、防御力が大幅に上昇します。"
MSI_GOSPEL9,"1分間、攻撃力が大幅に上昇します。"
MSI_GOSPEL10,"1分間、命中率と回避率が大幅に上昇します。"
MSI_BABY1,"すでに養子がいる夫婦はそれ以上養子を持つことができません。"
MSI_BABY2,"夫婦のレベルが二人とも70以上になると養子を持つことができます。"
MSI_BLACKSMITH_POINT,"[POINT] ブラックスミスランキングポイントが %d 上昇し、 %d ポイントになりました。"
MSI_ALCHEMIST_POINT,"[POINT] アルケミストランキングポイントが %d 上昇し、 %d ポイントになりました。"
MSI_SUPERNOVICE11,"Dear angel, can you hear my voice?"
MSI_SUPERNOVICE12,"I am"
MSI_SUPERNOVICE13,"Super Novice~"
MSI_SUPERNOVICE14,"Help me out~ Please~ T_T"
MSI_EXPLAIN_NOTALKMSG2,"/notalkmsg2 :  オープン発言とギルド発言が会話ウィンドウに表示されなくなります。On/Off"
MSI_NOTALKMSG2_ON,"オープン発言とギルド発言を表示します。[/nm2 On]"
MSI_NOTALKMSG2_OFF,"オープン発言とギルド発言を表示しません。[/nm2 Off]"
MSI_REFINEITEMLIST,"精錬可能アイテム"
MSI_ITEM_REFINE_SUCCEESS,"精錬した武器 : %s"
MSI_ITEM_REFINE_FAIL,"精錬した武器 : %s"
MSI_ITEM_REFINE_FAIL_LEVEL,"武器精錬スキルのレベルが不足しています。 %s 精錬できません。"
MSI_ITEM_REFINE_FAIL_MATERIAL,"精錬に必要なアイテム (%s) が不足しているので、精錬できません。"
MSI_FULLSTRIP,"装備がコーティングされているため、フルストリップが失敗になります。"
MSI_BABY3,"結婚したキャラクターは養子にすることができません。"
MSI_ID_WARNING,"友達登録された名前に近いですが、登録された名前ではありません。確認してください。"
MSI_EXPLAIN_HI,"/hi または /hi [文章] : 友達に登録されたキャラクター全員にメッセージを送ります。"
MSI_ID_WARNING_GUILD,"ギルドメンバーの名前に近いですが、ギルドメンバーではありません。確認してください。"
MSI_OVERPRICE9999,"9999万Zenyより高い金額を入力しても、9999万Zenyで販売されます。"
MSI_EXPLAIN_SACHING1,"友達リストに登録されたキャラクターからの耳打ちは [ Friend ] 、ギルドメンバーからの耳打ちは [ Member ] で表示されます。"
MSI_EXPLAIN_SACHING2,"( From キャラクター名 : ) この表示の耳打ちは、友達リストに登録されたキャラクターやギルドメンバーからのものではありません。"
MSI_EXPLAIN_BLACKSMITH,"/blacksmith : ブラックスミスの上位10位ランキングを表示します。"
MSI_EXPLAIN_ALCHEMIST,"/alchemist : アルケミストの上位10位ランキングを表示します。"
MSI_EXPLAIN_ALTY,"[Alt] + [Y] : 様々な設定を一括して行えるウィンドウを開きます。"
MSI_TAEKWON_POINT,"[POINT] テコンミッションランキングポイントが %d 上昇し、 %d ポイントになりました。"
MSI_TAEKWON_MISSION,"[テコンミッション] Target Monster : %s (%d%%)"
MSI_INIT_ERROR,"Error - Failed to initialize GameGuard: %lu"
MSI_SPEEDHACK_DETECT,"Speed Hack has been detected."
MSI_GAMEHACK_DETECT,"The illegal program, (%s) has been detected."
MSI_GAMEHACK_DOUBT,"The Game or Gameguard has been cracked."
MSI_ERROR_EXIST,"GameGuard is currently running. Please wait for sometime and restart the game."
MSI_GAME_EXIST,"The Game or GameGuard is already running. Please close the game and restart the game."
MSI_ERROR_INIT,"Failed to intialize GameGuard. Please try again after rebooting the system or closing other programs."
MSI_ERROR_NPSCAN,"Failed to load the scan module of virus and hacking tool. It's caused by lack of memory or PC virus infection."
MSI_HOMUN_INFO,"ホムンクルス情報"
MSI_HOMUN_SKILLLIST,"ホムンクルススキルリスト"
MSI_HOMUN_NAME_IN23,"ホムンクルスの名前は半角23,全角11文字以内にしてください。"
MSI_HOMUN_NAME_CHANGE_ONLYONCE,"名前は一度だけ変更することができます。ホムンクルスの名前を^0000ff^0000ff %s^000000^000000に変更します。よろしいですか？"
MSI_AUTO_MSG,"席を外しています。"
MSI_AUTO_MSG2,"[留守番メッセージ]"
MSI_AUTO_MSG_ON,"不在時に話しかけられた際、留守番メッセージを返答します。"
MSI_AUTO_MSG_OFF,"不在時に話しかけられた際、留守番メッセージを返答しません。"
MSI_ENTER_AUTO_MSG,"留守番メッセージを入力してください。"
MSI_EMOTION_SPARK,"/e13 (キュピーン)"
MSI_EMOTION_CONFUSE,"/e14 (ぐるぐる)"
MSI_EMOTION_OHNO,"/e15 (はぁ)"
MSI_EMOTION_HUM,"/e16 (ぱちくり)"
MSI_EMOTION_BLABLA,"/e17 (カラカラ)"
MSI_EMOTION_OTL,"/e18 (ガックリ)"
MSI_EMOTION_DICE,"/e19 (サイコロ)"
MSI_EXPLAIN_KILLER_RANK,"/pk : キラーポイントランキング10位までを表示します。"
MSI_KILLER_POINT,"[POINT] キラーポイントが %d され、 %d ポイントになりました。"
MSI_HOMUN_EVOLVE,"進化可能"
MSI_DELETE_HOMUN,"^ff0000^ff0000ホムンクルスを無に還します。^000000^000000 その場合、今まで育成した状態が全て破棄されます。よろしいですか？"
MSI_TRACE_AI_ON,"ホムンクルスの状態をファイルに保存します。"
MSI_TRACE_AI_OFF,"ホムンクルスの状態をファイルに保存しません。"
MSI_CRUSADER,"Crusader"
MSI_MONK,"Monk"
MSI_SAGE,"Sage"
MSI_ROGUE,"Rouge"
MSI_ALCHEMIST,"Alchemist"
MSI_BARD,"Bard"
MSI_CRUSADER_W,"Crusader_W"
MSI_MONK_W,"Monk_W"
MSI_SAGE_W,"Sage_W"
MSI_ROGUE_W,"Rouge_W"
MSI_ALCHEMIST_W,"Alchemist_W"
MSI_DANCER,"Dancer"
MSI_NOVICE_H,"Novice High"
MSI_SWORDMAN_H,"Swordman High"
MSI_MAGICIAN_H,"Magician High"
MSI_ARCHER_H,"Archer High"
MSI_ACOLYTE_H,"Acolyte High"
MSI_MERCHANT_H,"Merchant High"
MSI_THIEF_H,"Thief High"
MSI_NOVICE_H_W,"Novice High_W"
MSI_SWORDMAN_H_W,"Swordman High_W"
MSI_MAGICIAN_H_W,"Magician High_W"
MSI_ARCHER_H_W,"Archer High_W"
MSI_ACOLYTE_H_W,"Acolyte High_W"
MSI_MERCHANT_H_W,"Merchant High_W"
MSI_THIEF_H_W,"Thief High_W"
MSI_KNIGHT_H,"Lord Knight"
MSI_PRIEST_H,"High Priest"
MSI_WIZARD_H,"High Wizard"
MSI_BLACKSMITH_H,"White Smith"
MSI_HUNTER_H,"Sniper"
MSI_ASSASSIN_H,"Saaassin Cross"
MSI_KNIGHT_H_W,"Lord Knight_W"
MSI_PRIEST_H_W,"High Priest_W"
MSI_WIZARD_H_W,"High Wizard_W"
MSI_BLACKSMITH_H_W,"White Smith_W"
MSI_HUNTER_H_W,"Sniper_W"
MSI_ASSASSIN_H_W,"Assassin Cross_W"
MSI_CRUSADER_H,"Paladin"
MSI_MONK_H,"Champion"
MSI_SAGE_H,"Professor"
MSI_ROGUE_H,"Chaser"
MSI_ALCHEMIST_H,"Creator"
MSI_BARD_H,"Clown"
MSI_CRUSADER_H_W,"Paladin_W"
MSI_MONK_H_W,"Champion_W"
MSI_SAGE_H_W,"Professor_W"
MSI_ROGUE_H_W,"Chaser_W"
MSI_ALCHEMIST_H_W,"Creator_W"
MSI_DANCER_H,"Gypsy"
MSI_STORE_PASSWORD_REQ,"パスワードが設定されていません。パスワードを作成しますか？"
MSI_STORE_PASSWORD_PENALTY,"パスワードを3回間違えました。少し時間を置いてから入力してください。"
MSI_STORE_PASSWORD_CHANGE_NG,"パスワードの変更に失敗しました。"
MSI_STORE_PASSWORD_4_8,"パスワードは4桁以上8桁以下にしてください。"
MSI_STORE_PASSWORD,"パスワード"
MSI_STORE_NEW_PASSWORD,"新規パスワード"
MSI_STORE_RENEW_PASSWORD,"確認パスワード"
MSI_STORE_PASSWORD_CHANGE_OK,"パスワードの変更が完了しました。"
MSI_STORE_PASSWORD_MISMATCH,"パスワードが違います。"
MSI_STORE_PASSWORD_INPUT,"パスワード入力"
MSI_HOMUN_HUNGRY,"ホムンクルスが腹ぺこ状態です！エサを与えなければ逃げてしまいます。"
MSI_HOMUN_EXP,"経験値"
MSI_EVENT_RESULT,"[EVENT] You have won an event prize. Please claim your prize in game."
MSI_HATE,"嫌い"
MSI_VERYHATE,"大嫌い"
MSI_HOMUN_USERAI_ON,"ホムンクルスがカスタム設定で活動します。"
MSI_HOMUN_USERAI_OFF,"ホムンクルスが基本設定で活動します。"
MSI_MAIL_LIST,"メールリスト"
MSI_MAIL_WRITE,"新規メールの作成"
MSI_MAIL_READ,"新着メールの確認"
MSI_STARPLACE_ACCEPT,"一度指定すると変更はできません！このマップに指定しますか？"
MSI_MAIL_ADD_ITEM_SUCCESS,"メールアイテムを受け取りました。"
MSI_MAIL_ADD_ITEM_FAILURE,"メールアイテムを受け取ることができませんでした。"
MSI_MAIL_SEND_SUCCESS,"メールを送信しました。"
MSI_MAIL_USER_NOT_FOUND,"メールを送信することができませんでした。相手が存在しません。"
MSI_STAR_ANGEL,"[太陽と月と星の天使] 指定した場所とモンスターが初期化されました！"
MSI_AUCTION_ADD_FALSE,"競売登録が失敗しました。"
MSI_AUCTION_ADD_TRUE,"競売登録が成立しました。"
MSI_AUCTION_ADD_CANCEL,"選択した競売が中止になりました。"
MSI_AUCTION_ADD_CANCEL_FALSE,"入札者が存在する競売は中止できません。"
MSI_MAIL_DELETE_SUCCESS,"メールを削除しました。"
MSI_MAIL_DELETE_FAILURE,"メールを削除することができませんでした。"
MSI_MSG_KNIFE_EQUIPMENT_SUCCESS,"投擲用武器を装備しました。"
MSI_LOGIN_FRIEND,"%s さんがログインしました。"
MSI_LOGOUT_FRIEND,"%s さんがログアウトしました。"
MSI_EXPLAIN_LOGINOUT,"/loginout : ギルドメンバーと友達がログインした時にメッセージを表示します。On/Off"
MSI_LOGINOUT_ON,"友達がログインした時にメッセージを表示します。[/li On]"
MSI_LOGINOUT_OFF,"友達がログインした時にメッセージを表示しません。[/li Off]"
MSI_SGP_CODE_ALREADY_RUNNING,"すでに実行中です。"
MSI_SGP_CODE_DETECTED_MACRO,"Use of Macro program has been detected."
MSI_SGP_CODE_DETECTED_SPEEDHACK,"Use of Speed hack has been detected."
MSI_SGP_CODE_DETECTED_APIHOOK,"API Hooking has been detected."
MSI_SGP_CODE_DETECTED_MSGHOOK,"Message Hooking has been detected."
MSI_SGP_CODE_NOT_EQUALENCRYPTEDDATA,"Module has been modified or damaged or its version does not match."
MSI_BILLING_PCB,"(Thailand) You have logged in game with Internet cafe payment."
MSI_PREV_PAGE,"前"
MSI_NEXT_PAGE,"次"
MSI_AUCTION,"競売"
MSI_AUCTION_VIEW,"商品"
MSI_AUCTION_ADD,"登録する"
MSI_AUCTION_SELL,"出品中"
MSI_AUCTION_BUY,"入札中"
MSI_ITEM2,"アイテム"
MSI_ITEM_NAME2,"アイテム名"
MSI_ITEM_PRICE,"価格 / 即決価格"
MSI_SELLER,"出品者"
MSI_BUYER,"入札者"
MSI_FINISH_TIME,"終了時刻"
MSI_TIME_TYPE,"%m 月 %h 日 %h 時"
MSI_SET_TIME,"時刻設定"
MSI_CHARGE,"手数料"
MSI_NOTHING_SEARCH_ITEM,"検索対象のアイテムが見つかりませんでした。"
MSI_NOTHING_SEARCH_SELL_ITEM,"現在出品中のアイテムはありません。"
MSI_NOTHING_SEARCH_BUY_ITEM,"現在入札中のアイテムはありません。"
MSI_ERROR_AUCTION_ITEM_INFO,"競売情報が正しくありません。"
MSI_NOTHING_AUCTION_ITEM_INFO,"競売に登録するアイテム情報がありません。"
MSI_ERROR_ADD_AUCTION,"すでに登録されています。"
MSI_PRICE,"入札価格"
MSI_PRICE2,"入札希望価格"
MSI_PRICE3,"即決価格"
MSI_PRICE4,"所持Zeny"
MSI_PRICE5,"最高価格"
MSI_PRICE6,"前回入札価格"
MSI_PRICE7,"追加入札価格"
MSI_BUY_ACTION_ITEM,"入札しますか？"
MSI_SELL_ACTION_ITEM,"この価格で出品しますか？"
MSI_BUY_AUCTION,"入札する"
MSI_BUY_AUCTION2,"即決購入する"
MSI_BUY_AUCTION3,"競売を終了する"
MSI_FINISH_AUCTION,"再入札する"
MSI_RESULT_BUY_TRUE,"指定の商品への入札に成功しました。"
MSI_RESULT_BUY_FALSE,"指定の商品への入札に失敗しました。"
MSI_RESULT_BUY_FALSE_MONEY,"Zenyが不足しています。"
MSI_EQUIP,"防具"
MSI_CARD,"カード"
MSI_ETC,"その他"
MSI_AUCTION_NUM,"競売番号"
MSI_AUCTION_SEARCH,"検索"
MSI_RESULT_MY_SELL_STOP_TRUE,"指定の競売を終了しました。"
MSI_RESULT_MY_SELL_STOP_FALSE,"指定の競売を終了することができません。"
MSI_RESULT_AUCTION_ID_FALSE,"競売番号が正しくありません。"
MSI_SENDER,"受信者"
MSI_TITLE2,"タイトル"
MSI_NEW_MAIL,"新着メールがあります。"
MSI_SEARCHING_ITEM,"検索中です。"
MSI_AUCTION_ADD_OVER,"これ以上出品することはできません。出品できるのは最大5品までです。"
MSI_RESULT_BUY_OVER,"これ以上入札することはできません。入札できるのは最大5品までです。"
MSI_MAIL_DELETE_ERROR,"削除しようとしているメールに受け取っていないアイテムが存在します。"
MSI_MAIL_SEND_ERROR,"メールタイトルを入力してください。"
MSI_EXPLAIN_SHOPPING,"/shopping : 露店の看板左クリックで露店の内容を見られるようになり、露店名右クリックで露店のウィンドウを閉じられるようになります。 On/Off"
MSI_SHOPPING_ON,"露店の看板を左クリックすると、その露店の内容を見られるようになります。また、露店名を右クリックすると、表示していた露店のウィンドウを閉じられるようになります。[/sh ON]"
MSI_SHOPPING_OFF,"看板をダブルクリックで露店を見られるようになります。[/sh OFF]"
MSI_MAIL_SEND_ERROR2,"メールを送信する前に、Zeny欄の入力を行ってください。"
MSI_ADD_MONEY_FALSE,"競売手数料が不足しています。"
MSI_HOMUN_SHOWINFO,"状態表示"
MSI_HOMUN_FEEDING,"エサをあげる"
MSI_HOMUN_WAITING,"待機"
MSI_JOB_SUPERNOVICE_M,"Super Novice"
MSI_JOB_SUPERNOVICE_F,"Super Novice"
MSI_JOB_TAEKWON_M,"TaeKwon Boy"
MSI_JOB_TAEKWON_F,"TaeKwon Girl"
MSI_KWONSUNG_M,"Star Gladiator"
MSI_KWONSUNG_F,"Star Gladiator"
MSI_SOULLINGKER_M,"Soul Linker"
MSI_SOULLINGKER_F,"Soul Linker"
MSI_BAN_PC_IP_UNFAIR,"Please check the connection, more than 2 accounts are connected with Internet Cafe Time Plan."
MSI_BILLING_1,"Your account is using monthly payment. (Remaining day: %d day)"
MSI_BILLING_2,"Your account is using time limited. (Remaining time: %d hour %d minute %d second)"
MSI_MAIL_ITEM_ADD_FAILED,"このアイテムはメールに添付することができません。"
MSI_MAIL_ADD_ITEM_OVER_FAILURE,"You cannot accept any more items. Please try again later."
MSI_PTSEX1,"男性"
MSI_PTSEX2,"女性"
MSI_PT_NEWUSER,"New User."
MSI_PT_ACINFO,"E-mail address is required to delete a character."
MSI_PT_ACINFO2,"Please enter the correct information."
MSI_PT_NEWKEYINFO,"Please use this key."
MSI_PT_FAIL_CARDPASS,"Please enter the correct card password."
MSI_PTID1,"PT Info"
MSI_PTID2,"PT_ID is %s"
MSI_PTID3,"NUM_ID is %s"
MSI_PTID4,"Please don't forget this information."
MSI_PT_ERROR_1001,"1001"
MSI_PT_ERROR_1002,"1002"
MSI_PT_ERROR_1003,"1003"
MSI_PT_ERROR_1004,"1004"
MSI_PT_ERROR_1006,"1006"
MSI_PT_ERROR_1007,"1007"
MSI_PT_ERROR_1008,"1008"
MSI_PT_ERROR_1009,"1009"
MSI_PT_ERROR_1012,"1012"
MSI_PT_ERROR_1013,"1013"
MSI_PT_ERROR_1014,"1014"
MSI_PT_ERROR_1015,"1015"
MSI_PT_ERROR_1019,"1019"
MSI_PT_ERROR_1020,"1020"
MSI_PT_ERROR_1021,"1021"
MSI_PT_ERROR_1023,"1023"
MSI_PT_ERROR_1024,"1024"
MSI_PT_ERROR_1025,"1025"
MSI_PT_ERROR_1027,"1027"
MSI_PT_ERROR_1028,"1028"
MSI_PT_ERROR_10,"10"
MSI_PT_ERROR_20,"20"
MSI_PT_ERROR_40,"40"
MSI_PT_ERROR_50,"50"
MSI_PT_ERROR_60,"60"
MSI_PT_ERROR_70,"70"
MSI_PT_ERROR_80,"80"
MSI_PT_ERROR_90,"90"
MSI_PT_ERROR_100,"100"
MSI_PT_ERROR_110,"110"
MSI_PT_POINT1,"Do you want to receive 30 points?"
MSI_PT_POINT2,"30 points (5 hours) have been added."
MSI_AUCTION_ADD_ITEM_FAILURE,"未鑑定アイテムは競売に出品することができません。"
MSI_AUCTION_ADD_ITEM_FAILURE2,"消費アイテムは競売に出品することができません。"
MSI_CLOSE_MERCHANTITEMWND,"メールウィンドウを開く前にカートウィンドウを閉じてください。"
MSI_CLOSE_MAILWND,"カートウィンドウを開く前にメールウィンドウを閉じてください。"
MSI_MSG_BULLET_EQUIPMENT_SUCCESS,"弾丸が装填されました。"
MSI_MAIL_RETURN_SUCCESS,"メールが返送されました。"
MSI_MAIL_RETURN_FAILURE,"メールが存在しません。"
MSI_BAN_PC_IP_COUNT_ALL,"More than 30 players sharing the same IP have logged into the game for an hour. Please check this matter."
MSI_BAN_PC_IP_COUNT,"More than 10 connections sharing the same IP have logged into the game for an hour. Please check this matter."
MSI_GAMEGUARD_RESTART,"サーバーとの接続に失敗しました。クライアントを再起動してください。OKボタンを押すとクライアントが終了します。"
MSI_MER_INFO_TYPE_ARCHER,"傭兵情報 - 弓タイプ"
MSI_MER_INFO_TYPE_SWORDMAN,"傭兵情報 - 剣タイプ"
MSI_MER_INFO_TYPE_LANCER,"傭兵情報 - 槍タイプ"
MSI_LEFT_TIME,"削除時間"
MSI_MER_FRIENDLY,"信頼度"
MSI_MER_CALLCOUNT,"召喚回数"
MSI_MER_KILL,"KILL"
MSI_PET_STARVING,"ペットがお腹をすかせて、貴方を恨んでいるような気がします。"
MSI_GANGSI_POINT,"[POINT] テイミングミッションランキングポイントが%d増加し、%dポイントになりました。"
MSI_GANGSI_MISSION,"[テイミングミッション] Target Monster : %s"
MSI_EXPLAIN_HUNTING,"/hunting : ハンティングリストを見る"
MSI_DEATH_Q01,"[Angel's Question] Please tell me, how many %s skills do you have?"
MSI_DEATH_Q02,"[Angel's Question] Please tell me, how much zeny you'll have if you divide it by 100,000?"
MSI_DEATH_Q03,"[Angel's Question] Please tell me, what is today's date?"
MSI_DEATH_Q04,"[Angel's Question] Please tell me, how many %s do you have?"
MSI_DEATH_Q05,"[Angel's Question] If A is 1, B is 2, and so on, and if Z is 26, what number do you get if you add the letters in SiYeon's name?"
MSI_DEATH_Q06,"[Angel's Question] If A is 1, B is 2, and so on, and if Z is 26, what number do you get if you add the letters in Munak's name?"
MSI_DEATH_Q07,"[Angel's Question] If A is 1, B is 2, and so on, and if Z is 26, what number do you get if you add the letters in Bongun's name?"
MSI_DEATH_Q08,"[Angel's Question] If A is 1, B is 2, and so on, and if Z is 26, what number do you get if you add the letters in the word, Ragnarok?"
MSI_DEATH_Q09,"[Angel's Question] If A is 1, B is 2, and so on, and if Z is 26, what number do you get if you add the letters in the word, online?"
MSI_DEATH_Q10,"[Angel's Question] If A is 1, B is 2, and so on, and if Z is 26, what number do you get if you add the letters in the word, death?"
MSI_DEATH_Q11,"[Angel's Question] If A is 1, B is 2, and so on, and if Z is 26, what number do you get if you add the letters in the word, knight?"
MSI_DEATH_Q12,"[Angel's Question] If A is 1, B is 2, and so on, and if Z is 26, what number do you get if you add the letters in the word, gravity?"
MSI_DEATH_Q13,"[Angel's Question] If A is 1, B is 2, and so on, and if Z is 26, what number do you get if you add the letters in the word, dark?"
MSI_DEATH_Q14,"[Angel's Question] If A is 1, B is 2, and so on, and if Z is 26, what number do you get if you add the letters in the word, collecter?"
MSI_DEATH_R01,"[Angel's Answer] Thank you for letting me know~"
MSI_DEATH_R02,"[Angel's Answer] I'm very pleased with your answer. You are a splendid adventurer."
MSI_DEATH_R05,"[Angel's Answer] You've disappointed me..."
MSI_DEATH_POINT,"[POINT] ランキングポイントが%d増加して%dポイントになりました。"
MSI_POINT_SHOP,"[%s]さんのShop Point : %d Point"
MSI_CONFIRM_SELECT_CHARACTERS,"Unselected Characters will be deleted. Continue?"
MSI_ERROR_SELECT_CHARACTERS,"You cannot select more than 8."
MSI_CONFIRM_TO_CHANGE_NAME,"キャラクター名を [%s] に変更しますか？"
MSI_CHANGE_NAME_SUCCESS,"キャラクター名の変更に成功しました。"
MSI_CHANGE_NAME_FAILURE,"You have failed to change this character's name."
MSI_CAN_BUY_ONLY_ONEITEM,"一回に一種類のアイテムのみ購入することができます。"
MSI_NO_SELECT_CHARACTERS,"No characters were selected. You must select at least one character."
MSI_ALREADY_CHANGED_NAME,"This character's name has already been changed. You cannot change a character's name more than once."
MSI_NOTREGISTED_USER,"User Information is not correct."
MSI_DUPLICATED_CHAR_NAME,"他のユーザーが既に同一のキャラクター名を使用しています。他のキャラクター名を使用して下さい。"
MSI_CANNOT_PARTYCALL,"パーティーリーダーの権限がないため、パーティーメンバーを召喚することができません。"
MSI_NO_PARTYMEM_ON_THISMAP,"現在のマップには召喚できるパーティーメンバーがいません。"
MSI_NOTFIND_BOSSMON,"この地域ではボスモンスターの出現確認ができません。"
MSI_APPEARANCE_TIME_OF_BOSSMON,"ボスモンスター '%s'が %d時間 %d分後に出現します。"
MSI_SHOW_POSITION_OF_BOSSMON,"ボスモンスター '%s'の位置がミニマップに表示されます。"
MSI_CONFIRM_TO_OPEN_CASH_ITEM,"%sを開封しますか？　所持限界重量を超えてしまう場合には、箱を開けることができません。また、開封後同じアイテムを効果時間内に使用しても効果は重複しません。"
MSI_BUY_CASH_FAIL_NPC,"NPCが存在しないため、購入に失敗しました。"
MSI_BUY_CASH_FAIL_SYSTEM,"現在、利用できない状態です。"
MSI_BUY_CASH_FAIL_EXCHANGE,"アイテム交換中にアイテムを購入することはできません。"
MSI_BUY_CASH_FAIL_ITEM_ID,"アイテム情報が正しくないため、購入に失敗しました。"
MSI_ENST_STR,"STRが増加しました。"
MSI_DSST_STR,"STRが元に戻りました。"
MSI_ENST_AGI,"AGIが増加しました。"
MSI_DSST_AGI,"AGIが元に戻りました。"
MSI_ENST_VIT,"VITが増加しました。"
MSI_DSST_VIT,"VITが元に戻りました。"
MSI_ENST_INT,"INTが増加しました。"
MSI_DSST_INT,"INTが元に戻りました。"
MSI_ENST_DEX,"DEXが増加しました。"
MSI_DSST_DEX,"DEXが元に戻りました。"
MSI_ENST_LUK,"LUKが増加しました。"
MSI_DSST_LUK,"LUKが元に戻りました。"
MSI_ENST_AVOIDANCE,"回避率が向上しました。"
MSI_DSST_AVOIDANCE,"回避率が元に戻りました。"
MSI_ENST_HIT,"命中率が向上しました。"
MSI_DSST_HIT,"命中率が元に戻りました。"
MSI_ENST_CRITICALSUCCESSVALUE,"クリティカル率が向上しました。"
MSI_DSST_CRITICALSUCCESSVALUE,"クリティカル率が元に戻りました。"
MSI_PLUSEXP,"戦闘教範50「使用から30分間、獲得経験値がBase・Job共に50％増加します。」"
MSI_DDEATHPENALTY,"使用から一定時間、戦闘不能時1回に限りデスペナルティが発生しません。"
MSI_RECEIVEITEM,"Regular item drops from monsters will be doubled for the next 30 minutes."
MSI_BOSS_ALARM,"10分間、マップ内に出現するボスモンスターの情報をご案内します。"
MSI_BUY_RECONFIRM,"●特定商取引法に関する事項\n商品名：%s\n数量　：%d個\n価格　：%s ShopPoint\n　対価の支払の時期及び方法：　購入時・所持ShopPointによるお支払い\n提供時期：　即時（キャンセル・解除はできません）\n提供期間（コスたまHairCollectionIX(明色)）：2023年12月5日（火）定期メンテナンス終了～2024年1月9日（火）定期メンテナンス開始\n提供期間（コスたまHairCollectionIX(暗色)）：2023年12月5日（火）定期メンテナンス終了～2024年1月9日（火）定期メンテナンス開始\n提供期間（復刻コスたま2023 Season4）：2023年10月24日（火）定期メンテナンス終了～2024年1月23日（火）定期メンテナンス開始\n提供期間（上記以外のアイテム）：該当なし\n\n本当に購入しますか？"
MSI_BUY_CASH_FAIL_MONEY,"Shop Pointが足りません。"
MSI_NOTICE_TO_DELETE_TIME,"^ff0000消滅日時： %s^000000"
MSI_NOTICE_TO_REMAIN_ITEMUSINGTIME,"「%s」が消滅するまでの時間は、%d分です。"
MSI_LAST_NOTICE_TO_REMAIN_ITEMUSINGTIME,"1分後、「%s」が消滅します。"
MSI_NOTICE_TO_DELETE_ITEM,"「%s」が消滅しました。"
MSI_INPUT_NUMBER,"Input Number"
MSI_TIME_TYPE2,"%m月 %d日 %H時 %M分"
MSI_APPEARANCE_TIME_OF_BOSSMON2,"ボスモンスター '%s'が1分以内に出現します。"
MSI_MER_SKILLLIST,"傭兵スキルリスト"
MSI_DA_EXP_ACCEPT,"Do you agree to cast the magic spell that consumes 1 Black Gemstone and 1,000,000 Zeny?"
MSI_COLLECTOR_POINT,"[Point] You have gained %d Collector Rank Points; you now have a total of %d Collector Rank Points."
MSI_COLLECTOR_MISSION,"[Collector Rank] Target Item: %s"
MSI_MER_FINISH,"傭兵使用時間が完了しました。"
MSI_MER_DIE,"傭兵が倒れました。"
MSI_MER_RETIRE,"傭兵が解雇されました。"
MSI_MER_RUNAWAY,"傭兵が逃亡しました。"
MSI_NOTICE_TO_REMAIN_ITEMUSINGTIME2,"「%s」が消滅するまでの時間は、%d秒です。"
